,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
157,Dimitri Foulquier,fr  FRA,"MF,FW",Getafe,25,1993,20.0,40,25,13,17,10,12,33,36.4,21,539,140,26.0,136,278,125,33,2,0,31,20,60,31,0
158,Javi Fuego,es  ESP,MF,Villarreal,34,1984,2.6,6,4,6,0,0,5,12,41.7,7,55,16,29.1,19,30,6,4,1,0,3,1,7,14,0
159,Ramiro Funes Mori,ar  ARG,"DF,MF",Villarreal,27,1991,29.2,43,26,31,10,2,20,49,40.8,29,312,92,29.5,178,119,15,45,23,1,22,32,75,182,3
160,Javi Galán,es  ESP,"DF,MF",Huesca,23,1994,16.0,67,38,43,20,4,28,57,49.1,29,356,110,30.9,192,127,37,37,1,0,36,16,83,51,0
161,Álex Gallar,es  ESP,"MF,FW",Huesca,26,1992,11.2,15,13,6,5,4,6,25,24.0,19,197,62,31.5,45,101,51,9,1,0,8,7,22,5,0
162,Enric Gallego,es  ESP,FW,Huesca,31,1986,17.1,20,14,4,11,5,4,14,28.6,10,361,66,18.3,19,210,132,21,4,0,17,8,28,27,0
163,Álex Gálvez,es  ESP,DF,Rayo Vallecano,29,1989,15.7,35,25,22,13,0,13,31,41.9,18,126,43,34.1,75,47,4,9,0,0,9,29,64,109,1
164,Kévin Gameiro,fr  FRA,FW,Valencia,31,1987,17.9,11,9,3,5,3,3,17,17.6,14,400,76,19.0,37,209,154,15,3,0,12,6,17,5,0
165,Cristian Ganea,ro  ROU,MF,Athletic Club,26,1992,0.5,0,0,0,0,0,0,2,0.0,2,5,2,40.0,2,0,3,2,0,0,2,2,2,1,0
166,Ezequiel Garay,ar  ARG,DF,Valencia,31,1986,23.7,22,13,15,5,2,5,16,31.3,11,104,41,39.4,69,32,3,42,24,0,18,12,34,164,0
167,Borja Garcés,es  ESP,"FW,MF",Atlético Madrid,18,1999,0.2,0,0,0,0,0,0,0,,0,8,4,50.0,0,8,0,0,0,0,0,0,0,0,0
168,Alberto García,es  ESP,GK,Rayo Vallecano,33,1985,17.0,0,0,0,0,0,0,2,0.0,2,4,1,25.0,4,0,0,1,0,0,1,0,0,1,0
169,Aleix García,es  ESP,MF,Girona,21,1997,18.5,34,20,15,16,3,15,41,36.6,26,472,91,19.3,145,261,66,28,7,0,21,22,56,23,0
170,Álvaro García,es  ESP,"FW,MF",Rayo Vallecano,25,1992,19.6,23,16,12,5,6,6,30,20.0,24,332,69,20.8,102,145,85,28,0,0,28,11,34,24,0
171,Borja García,es  ESP,"FW,MF",Girona,27,1990,29.2,41,27,20,20,1,26,50,52.0,24,579,139,24.0,120,338,121,38,3,0,35,27,68,17,0
172,Dani García,es  ESP,MF,Athletic Club,28,1990,27.5,59,40,25,31,3,23,76,30.3,53,439,119,27.1,125,263,51,36,8,0,28,42,101,72,1
173,Javi García,es  ESP,"DF,MF",Betis,31,1987,5.8,1,0,1,0,0,0,2,0.0,2,47,15,31.9,30,15,2,11,2,0,9,6,7,27,0
174,Manu García,es  ESP,MF,Alavés,32,1986,25.9,86,45,34,39,13,28,89,31.5,61,590,130,22.0,182,326,82,38,4,0,34,20,106,74,0
175,Sergio García,es  ESP,"FW,MF",Espanyol,35,1983,16.5,13,8,4,7,2,4,18,22.2,14,233,53,22.7,38,112,83,6,1,0,5,13,26,5,0
176,Mario Gaspar,es  ESP,DF,Villarreal,27,1990,28.9,57,29,34,19,4,23,56,41.1,33,428,100,23.4,201,164,63,59,11,0,48,33,90,101,0
177,Joris Gnagnon,fr  FRA,"DF,MF",Sevilla,21,1997,5.0,13,10,6,4,3,4,7,57.1,3,46,19,41.3,17,23,6,5,2,0,3,9,22,22,0
178,Diego Godín,uy  URU,DF,Atlético Madrid,32,1986,27.9,62,33,41,21,0,18,44,40.9,26,211,63,29.9,141,62,8,37,10,0,27,41,103,158,3
179,Maxi Gómez,uy  URU,FW,Celta Vigo,21,1996,32.9,8,8,1,3,4,4,18,22.2,14,434,103,23.7,16,192,226,18,2,0,16,5,13,36,0
180,Moi Gómez,es  ESP,MF,Huesca,24,1994,33.9,42,35,17,23,2,10,49,20.4,39,663,155,23.4,176,367,120,41,6,0,35,28,70,26,0
181,Sergi Gómez,es  ESP,DF,Sevilla,26,1992,30.7,49,24,36,11,2,15,28,53.6,13,294,89,30.3,171,105,18,49,20,0,29,34,83,163,2
182,Maxime Gonalons,fr  FRA,MF,Sevilla,29,1989,6.0,14,10,4,7,3,0,16,0.0,16,106,30,28.3,29,56,21,13,3,0,10,6,20,11,0
183,Álvaro González,es  ESP,DF,Villarreal,28,1990,32.9,46,31,31,13,2,22,36,61.1,14,247,65,26.3,158,76,13,49,29,0,20,26,72,227,2
184,Bruno González,es  ESP,DF,Getafe,28,1990,18.9,26,16,14,12,0,7,17,41.2,10,182,62,34.1,104,70,8,16,6,1,10,13,39,100,1
185,Cristo González,es  ESP,FW,Real Madrid,20,1997,0.5,0,0,0,0,0,0,0,,0,23,5,21.7,3,12,8,0,0,0,0,1,1,0,0
186,Andoni Gorosabel,es  ESP,DF,Real Sociedad,21,1996,5.1,17,5,12,3,2,7,13,53.8,6,93,14,15.1,56,25,12,9,1,0,8,6,23,14,1
187,Álex Granell,es  ESP,"MF,DF",Girona,29,1988,26.6,63,35,32,27,4,30,90,33.3,60,631,148,23.5,185,311,135,40,5,0,35,26,89,37,0
188,Esteban Granero,es  ESP,MF,Espanyol,31,1987,22.4,59,35,29,24,6,14,59,23.7,45,487,86,17.7,160,267,60,39,6,1,33,28,87,38,0
189,Antoine Griezmann,fr  FRA,FW,Atlético Madrid,27,1991,35.5,40,24,10,16,14,10,37,27.0,27,753,154,20.5,79,357,317,19,2,0,17,9,49,16,0
190,Andrés Guardado,mx  MEX,"MF,DF",Betis,31,1986,25.9,29,15,9,15,5,7,49,14.3,42,418,105,25.1,135,206,77,20,2,0,18,22,51,27,0
191,Gonçalo Guedes,pt  POR,"MF,FW",Valencia,21,1996,16.3,30,18,13,12,5,14,39,35.9,25,303,69,22.8,76,152,75,18,0,0,18,7,37,4,0
192,Javi Guerra,es  ESP,"FW,MF",Rayo Vallecano,36,1982,2.6,2,2,1,1,0,0,2,0.0,2,39,10,25.6,0,21,18,5,2,0,3,1,3,1,0
193,Francis Guerrero,es  ESP,"DF,MF",Betis,22,1996,19.8,48,30,24,17,7,16,41,39.0,25,255,78,30.6,118,94,43,35,0,0,35,15,63,31,1
194,Ander Guevara,es  ESP,MF,Real Sociedad,21,1997,1.0,5,3,1,4,0,2,7,28.6,5,32,12,37.5,5,23,4,2,0,0,2,0,5,0,0
195,John Guidetti,se  SWE,FW,Alavés,26,1992,7.0,3,2,0,2,1,0,9,0.0,9,140,33,23.6,6,83,51,8,2,0,6,1,4,6,0
196,Gerard Gumbau,es  ESP,MF,Leganés,23,1994,13.3,20,15,5,14,1,5,42,11.9,37,336,65,19.3,120,170,46,15,1,0,14,7,27,21,0
197,Serdar Gürler,tr  TUR,"FW,MF",Huesca,26,1991,5.4,10,7,4,6,0,5,17,29.4,12,89,27,30.3,30,49,10,9,0,0,9,4,14,1,0
198,Gorka Guruzeta,es  ESP,"FW,MF",Athletic Club,21,1996,0.6,1,1,1,0,0,0,3,0.0,3,12,0,0.0,0,7,5,1,0,0,1,0,1,0,0
199,Hacen,mr  MTN,FW,Valladolid,20,1997,0.0,0,0,0,0,0,0,0,,0,8,1,12.5,6,2,0,1,0,0,1,0,0,1,0
200,Uche Henry Agbo,ng  NGA,MF,Rayo Vallecano,22,1995,4.1,6,4,1,5,0,1,7,14.3,6,58,13,22.4,21,30,7,3,0,0,3,6,12,10,0
201,Mario Hermoso,es  ESP,DF,Espanyol,23,1995,31.2,34,25,28,5,1,16,38,42.1,22,168,58,34.5,108,54,6,48,27,2,21,25,59,205,1
202,Lucas Hernández,fr  FRA,DF,Atlético Madrid,22,1996,12.4,29,21,20,9,0,15,25,60.0,10,141,48,34.0,74,56,11,21,9,0,12,11,40,56,0
203,Theo Hernández,fr  FRA,DF,Real Sociedad,20,1997,22.0,42,21,21,13,8,30,53,56.6,23,335,86,25.7,172,112,51,30,1,0,29,33,75,39,2
204,Yangel Herrera,ve  VEN,"MF,DF",Huesca,20,1998,12.8,47,30,19,22,6,20,42,47.6,22,362,99,27.3,133,194,35,18,0,0,18,15,62,38,0
205,Iago Herrerín,es  ESP,GK,Athletic Club,30,1988,31.0,0,0,0,0,0,0,3,0.0,3,5,0,0.0,3,1,1,0,0,0,0,0,0,1,2
206,Andrew Hjulsager,dk  DEN,"MF,FW",Celta Vigo,23,1995,4.0,12,8,9,1,2,1,18,5.6,17,120,23,19.2,45,46,29,2,0,0,2,4,16,3,0
207,Wesley Hoedt,nl  NED,DF,Celta Vigo,24,1994,9.9,13,6,9,4,0,9,19,47.4,10,84,20,23.8,68,15,1,24,10,0,14,9,22,63,0
208,Robert Ibáñez,es  ESP,"DF,FW",Getafe,25,1993,0.8,1,1,1,0,0,1,3,33.3,2,13,4,30.8,5,5,3,2,0,0,2,0,1,0,0
209,Vicente Iborra,es  ESP,"MF,FW",Villarreal,30,1988,18.5,34,26,24,7,3,8,30,26.7,22,326,81,24.8,85,196,45,25,9,1,16,19,53,45,1
210,Borja Iglesias,es  ESP,FW,Espanyol,25,1993,34.2,27,21,8,13,6,4,27,14.8,23,632,128,20.3,41,314,277,19,4,0,15,6,33,40,0
211,Asier Illarramendi,es  ESP,MF,Real Sociedad,28,1990,20.2,55,39,31,22,2,18,59,30.5,41,372,114,30.6,142,197,33,41,7,0,34,24,79,43,0
212,Giannelli Imbula,cd  COD,MF,Rayo Vallecano,25,1992,19.2,15,12,6,8,1,4,14,28.6,10,347,66,19.0,82,214,51,17,2,0,15,7,22,13,0
213,Pablo Insua,es  ESP,DF,Huesca,24,1993,8.6,17,10,10,7,0,5,13,38.5,8,90,27,30.0,50,38,2,4,2,0,2,9,26,45,0
214,Gorka Iraizoz,es  ESP,GK,Girona,37,1981,6.2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,2,0
215,Carlos Isaac,es  ESP,DF,Atlético Madrid,20,1998,1.0,0,0,0,0,0,0,2,0.0,2,16,4,25.0,12,0,4,5,0,0,5,0,0,1,0
216,Isco,es  ESP,"MF,FW",Real Madrid,26,1992,13.2,29,20,13,10,6,12,37,32.4,25,227,53,23.3,50,130,47,9,1,0,8,8,37,3,0
217,Manuel Iturra,cl  CHI,MF,Villarreal,34,1984,0.8,2,1,1,1,0,1,3,33.3,2,14,3,21.4,5,8,1,2,0,0,2,2,4,3,0
218,Ander Iturraspe,es  ESP,MF,Athletic Club,29,1989,1.1,2,2,2,0,0,1,2,50.0,1,9,2,22.2,6,2,1,1,0,0,1,1,3,2,0
219,Ivi,es  ESP,"MF,FW",Valladolid,24,1994,0.2,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0
220,Adnan Januzaj,be  BEL,"FW,MF",Real Sociedad,23,1995,13.9,13,11,6,2,5,2,11,18.2,9,198,51,25.8,34,94,70,13,1,0,12,6,19,3,0
221,Jason,es  ESP,"MF,DF",Levante,24,1994,25.9,42,25,20,15,7,22,75,29.3,53,513,108,21.1,160,234,119,41,2,0,39,40,82,29,0
222,Mathias Jensen,dk  DEN,"MF,FW",Celta Vigo,22,1996,2.6,7,3,3,3,1,2,9,22.2,7,123,28,22.8,36,66,21,1,0,0,1,3,10,2,0
223,Jesé,es  ESP,"FW,MF",Betis,25,1993,8.7,10,9,3,4,3,3,10,30.0,7,198,44,22.2,28,87,83,4,0,0,4,2,12,0,0
224,Joaquín,es  ESP,"FW,DF",Betis,37,1981,18.8,12,8,6,4,2,5,11,45.5,6,233,61,26.2,56,121,56,19,1,0,18,10,22,25,0
225,Jony,es  ESP,"MF,FW",Alavés,27,1991,33.0,27,12,9,10,8,7,46,15.2,39,491,98,20.0,152,221,118,42,0,0,42,24,51,7,1
226,Joan Jordán,es  ESP,MF,Eibar,24,1994,31.9,69,51,16,45,8,32,91,35.2,59,613,179,29.2,119,364,130,60,4,0,56,32,101,27,0
227,Willian José,br  BRA,FW,Real Sociedad,26,1991,26.3,5,3,0,4,1,3,4,75.0,1,337,98,29.1,11,149,177,13,6,0,7,5,10,28,0
228,Aleksandar Jovanović,rs  SRB,GK,Huesca,25,1992,12.0,0,0,0,0,0,0,1,0.0,1,0,0,,0,0,0,0,0,0,0,0,0,1,0
229,Jozabed,es  ESP,MF,Celta Vigo,27,1991,12.8,20,17,6,10,4,8,34,23.5,26,300,68,22.7,99,159,42,18,2,0,16,8,28,8,0
230,Miguel Juan Llambrich,es  ESP,DF,Villarreal,22,1996,6.0,24,13,17,6,1,11,19,57.9,8,115,32,27.8,61,37,17,15,3,0,12,8,32,19,0
231,Juanmi,es  ESP,"FW,MF",Real Sociedad,25,1993,16.9,17,8,4,9,4,4,26,15.4,22,382,69,18.1,58,194,130,20,0,0,20,12,29,6,1
232,Juanpe,es  ESP,DF,Girona,27,1991,30.7,41,26,25,13,3,20,35,57.1,15,241,83,34.4,133,95,13,48,17,0,31,33,74,173,2
233,Juanpi,ve  VEN,"MF,FW",Huesca,24,1994,7.4,16,11,8,7,1,4,12,33.3,8,195,42,21.5,61,100,34,20,0,0,20,2,18,8,0
234,David Juncà,es  ESP,DF,Celta Vigo,24,1993,19.5,50,26,34,15,1,23,47,48.9,24,242,71,29.3,152,72,18,53,7,0,46,18,68,70,0
235,Vinicius Júnior,br  BRA,FW,Real Madrid,18,2000,9.7,14,7,4,5,5,1,12,8.3,11,204,45,22.1,46,71,87,7,1,0,6,6,20,0,0
236,Gaël Kakuta,cd  COD,"MF,FW",Rayo Vallecano,27,1991,8.0,12,8,6,4,2,3,12,25.0,9,145,37,25.5,46,77,22,7,1,0,6,8,20,4,0
237,Nikola Kalinić,hr  CRO,FW,Atlético Madrid,30,1988,7.1,3,0,1,2,0,0,4,0.0,4,127,28,22.0,13,57,57,1,0,0,1,2,5,2,0
238,Lee Kangin,kr  KOR,"FW,MF",Valencia,17,2001,0.3,2,0,1,0,1,1,3,33.3,2,17,1,5.9,4,9,4,0,0,0,0,1,3,0,0
239,Wilfrid Kaptoum,cm  CMR,MF,Betis,22,1996,8.6,12,5,4,6,2,4,10,40.0,6,165,32,19.4,49,92,24,9,1,0,8,4,16,5,0
240,Keko,es  ESP,"MF,FW",Valladolid,26,1991,17.0,35,19,17,13,5,12,51,23.5,39,492,120,24.4,174,246,72,32,2,0,30,10,45,15,0
241,Kike,es  ESP,FW,Eibar,28,1989,14.4,6,4,1,3,2,1,9,11.1,8,288,79,27.4,21,102,165,24,2,0,22,5,11,3,0
242,Simon Kjær,dk  DEN,DF,Sevilla,29,1989,22.3,35,20,28,7,0,14,24,58.3,10,159,53,33.3,103,53,3,42,31,0,11,19,54,153,0
243,Kenan Kodro,ba  BIH,"FW,MF",Athletic Club,24,1993,1.8,3,2,1,2,0,1,2,50.0,1,34,13,38.2,6,14,14,1,0,0,1,0,3,0,0
244,Koke,es  ESP,MF,Atlético Madrid,26,1992,28.7,75,46,32,34,9,28,95,29.5,67,725,167,23.0,277,320,128,47,5,0,42,24,99,33,0
245,Geoffrey Kondogbia,cf  CTA,MF,Valencia,25,1993,13.8,46,35,19,22,5,8,23,34.8,15,336,75,22.3,121,182,33,27,7,0,20,24,70,27,2
246,Vasyl Kravets,ua  UKR,DF,Leganés,20,1997,5.3,20,10,11,8,1,6,12,50.0,6,65,19,29.2,30,24,11,8,1,0,7,2,22,13,1
247,Toni Kroos,de  GER,MF,Real Madrid,28,1990,24.7,56,42,17,26,13,17,61,27.9,44,576,147,25.5,97,376,103,32,4,0,28,14,70,16,1
248,Víctor Laguardia,es  ESP,DF,Alavés,28,1989,36.0,41,25,29,12,0,22,41,53.7,19,221,74,33.5,160,58,3,74,20,0,54,51,92,256,0
249,Diego Lainez,mx  MEX,"MF,FW",Betis,18,2000,3.9,4,2,0,3,1,1,2,50.0,1,54,9,16.7,13,25,16,4,0,0,4,0,4,1,0
250,Toni Lato,es  ESP,DF,Valencia,20,1997,3.0,6,3,4,0,2,4,9,44.4,5,64,12,18.8,48,12,4,15,3,0,12,7,13,9,0
251,Miguel Layún,mx  MEX,"MF,DF",Villarreal,30,1988,5.6,4,3,0,4,0,1,6,16.7,5,133,22,16.5,34,74,25,11,1,0,10,1,5,5,0
252,Robin Le Normand,fr  FRA,DF,Real Sociedad,21,1996,3.2,6,4,4,2,0,2,5,40.0,3,19,3,15.8,9,10,0,5,0,0,5,6,12,15,1
253,Wu Lei,cn  CHN,"FW,MF",Espanyol,26,1991,11.8,10,8,3,5,2,4,18,22.2,14,202,38,18.8,47,96,59,15,1,0,14,3,13,8,0
254,Iñigo Lekue,es  ESP,DF,Athletic Club,25,1993,2.3,4,4,4,0,0,1,3,33.3,2,28,8,28.6,12,12,4,6,0,0,6,2,6,14,0
255,Thomas Lemar,fr  FRA,"MF,FW",Atlético Madrid,22,1995,20.2,30,15,17,11,2,12,41,29.3,29,630,109,17.3,171,337,122,36,1,0,35,23,53,4,0
256,Clément Lenglet,fr  FRA,DF,Barcelona,23,1995,21.5,59,43,33,23,3,20,42,47.6,22,256,85,33.2,131,113,12,42,22,0,20,14,73,78,0
257,Pedro León,es  ESP,"MF,FW",Eibar,31,1986,4.7,9,7,2,3,4,3,8,37.5,5,77,19,24.7,17,29,31,10,0,0,10,4,13,2,0
258,Sergio León,es  ESP,"FW,MF",Betis,29,1989,7.1,2,1,0,2,0,1,7,14.3,6,87,18,20.7,12,45,30,8,1,0,7,1,3,3,0
259,Diego Llorente,es  ESP,DF,Real Sociedad,24,1993,19.5,33,24,23,10,0,17,34,50.0,17,164,62,37.8,95,64,5,32,15,0,17,15,48,115,0
260,Marcos Llorente,es  ESP,MF,Real Madrid,23,1995,6.0,16,10,8,7,1,4,14,28.6,10,115,30,26.1,33,62,20,8,0,0,8,5,21,11,0
261,Giovani Lo Celso,ar  ARG,"MF,FW",Betis,22,1996,26.6,55,46,17,29,9,14,46,30.4,32,500,137,27.4,99,268,133,36,1,0,35,10,65,11,1
262,Stanislav Lobotka,sk  SVK,MF,Celta Vigo,23,1994,27.7,42,34,12,22,8,10,45,22.2,35,670,151,22.5,221,364,85,23,1,0,22,26,68,17,0
263,Samuele Longo,it  ITA,"FW,MF",Huesca,26,1992,6.2,5,5,1,3,1,0,7,0.0,7,183,39,21.3,18,115,50,7,2,0,5,0,5,6,0
264,Pedro López Muñoz,es  ESP,DF,Levante,34,1983,5.2,6,4,5,1,0,2,6,33.3,4,76,18,23.7,52,16,8,9,1,0,8,7,13,8,0
265,Alejandro López,es  ESP,MF,Espanyol,21,1997,1.2,2,1,1,1,0,2,6,33.3,4,48,8,16.7,16,29,3,0,0,0,0,2,4,2,0
266,David López,es  ESP,DF,Espanyol,28,1989,20.2,30,24,17,11,2,14,26,53.8,12,152,44,28.9,94,47,11,23,11,0,12,15,45,93,2
267,Diego López,es  ESP,GK,Espanyol,36,1981,38.0,0,0,0,0,0,0,1,0.0,1,0,0,,0,0,0,0,0,0,0,0,0,2,1
268,Javi López,es  ESP,DF,Espanyol,32,1986,21.6,71,43,44,22,5,24,67,35.8,43,308,80,26.0,169,105,34,46,3,0,43,38,109,73,0
269,Lluis López,es  ESP,DF,Espanyol,21,1997,5.8,1,1,1,0,0,1,2,50.0,1,52,16,30.8,35,17,0,11,1,0,10,7,8,29,0
270,Pau López,es  ESP,GK,Betis,23,1994,33.0,0,0,0,0,0,0,3,0.0,3,3,1,33.3,3,0,0,1,0,0,1,0,0,3,1
271,Roberto López,es  ESP,MF,Real Sociedad,18,2000,0.3,0,0,0,0,0,0,1,0.0,1,5,2,40.0,3,1,1,1,0,0,1,0,0,1,0
272,Unai López,es  ESP,MF,Athletic Club,22,1995,3.6,5,3,3,0,2,1,15,6.7,14,62,19,30.6,18,35,9,11,3,0,8,1,6,4,0
273,Anthony Lozano,hn  HON,"FW,MF",Girona,25,1993,8.1,9,4,3,6,0,1,10,10.0,9,153,35,22.9,30,73,50,11,1,0,10,1,10,4,0
274,José Luis Gayà,es  ESP,DF,Valencia,23,1995,34.9,80,39,56,19,5,37,73,50.7,36,442,127,28.7,229,162,51,69,7,0,62,36,116,112,1
275,José Luis Morales,es  ESP,"FW,MF",Levante,31,1987,35.5,19,8,7,7,5,9,56,16.1,47,625,128,20.5,112,273,240,34,2,0,32,15,34,8,0
276,Filipe Luís,br  BRA,DF,Atlético Madrid,32,1985,22.6,64,40,33,25,6,21,51,41.2,30,322,101,31.4,163,128,31,42,3,0,39,24,88,46,0
277,Luisinho,pt  POR,DF,Huesca,33,1985,5.6,15,9,12,2,1,7,18,38.9,11,46,17,37.0,29,16,1,9,1,0,8,11,26,14,0
278,Douglas Luiz,br  BRA,MF,Girona,20,1998,16.6,36,29,15,18,3,12,43,27.9,31,340,88,25.9,137,170,33,27,5,0,22,16,52,30,1
279,Antonio Luna,es  ESP,DF,Levante,27,1991,14.0,21,19,12,7,2,5,17,29.4,12,221,55,24.9,110,78,33,34,4,0,30,12,33,41,1
280,Andriy Lunin,ua  UKR,GK,Leganés,19,1999,4.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,1,0,0,1,0,0,0,0
281,Nemanja Maksimović,rs  SRB,MF,Getafe,23,1995,35.7,70,45,24,42,4,21,67,31.3,46,874,224,25.6,192,536,146,95,21,0,74,49,119,38,1
282,Malcom,br  BRA,"FW,DF",Barcelona,21,1997,6.8,4,3,0,2,2,1,5,20.0,4,118,29,24.6,12,65,41,10,1,0,9,1,5,2,0
283,Hugo Mallo,es  ESP,DF,Celta Vigo,27,1991,34.4,68,43,41,20,7,25,68,36.8,43,538,172,32.0,297,179,62,82,16,0,66,30,98,150,1
284,Aïssa Mandi,dz  ALG,DF,Betis,26,1991,34.0,53,42,28,22,3,12,31,38.7,19,306,91,29.7,162,114,30,48,24,1,24,38,91,69,0
285,Martín Mantovani,ar  ARG,DF,Huesca,34,1984,7.8,21,16,17,4,0,11,19,57.9,8,60,24,40.0,42,18,0,9,6,0,3,10,31,81,0
286,Fran Manzanara,es  ESP,"DF,MF",Levante,21,1996,1.7,7,4,4,3,0,4,5,80.0,1,28,4,14.3,15,11,2,5,2,0,3,1,8,8,0
287,Marcelo,br  BRA,DF,Real Madrid,30,1988,20.6,37,17,17,14,6,14,37,37.8,23,221,70,31.7,76,93,52,33,2,0,31,12,49,23,0
288,Óscar de Marcos,es  ESP,"DF,FW",Athletic Club,29,1989,26.9,57,37,30,16,11,25,64,39.1,39,378,96,25.4,152,135,91,52,4,0,48,25,82,50,1
289,Miguel Marí,es  ESP,MF,Eibar,21,1997,0.8,0,0,0,0,0,0,3,0.0,3,16,7,43.8,1,14,1,1,0,0,1,0,0,1,0
290,José María Giménez,uy  URU,DF,Atlético Madrid,23,1995,19.7,32,18,26,6,0,13,29,44.8,16,171,54,31.6,115,52,4,35,18,0,17,26,58,124,0
291,Mariano,do  DOM,FW,Real Madrid,24,1993,5.0,1,1,1,0,0,0,5,0.0,5,81,12,14.8,4,47,30,1,0,0,1,2,3,2,0
292,Adrián Marín,es  ESP,"DF,MF",Alavés,21,1997,3.2,10,7,5,5,0,2,6,33.3,4,47,14,29.8,22,24,1,7,0,0,7,4,14,14,0
293,Guillermo Maripán,cl  CHI,DF,Alavés,24,1994,22.3,46,25,34,12,0,22,37,59.5,15,193,66,34.2,135,53,5,41,16,0,25,23,69,157,3
294,Roger Martí,es  ESP,FW,Levante,27,1991,21.0,10,8,1,5,4,1,23,4.3,22,373,74,19.8,35,204,134,16,4,0,12,3,13,8,0
295,Iñigo Martínez,es  ESP,DF,Athletic Club,27,1991,32.2,49,30,37,11,1,14,32,43.8,18,238,88,37.0,138,93,7,40,14,0,26,47,96,190,2
296,Gelson Martins,pt  POR,FW,Atlético Madrid,23,1995,2.5,5,2,2,2,1,0,1,0.0,1,56,13,23.2,12,30,14,4,0,0,4,1,6,0,0
297,Jordi Masip,es  ESP,GK,Valladolid,29,1989,35.0,0,0,0,0,0,0,1,0.0,1,0,0,,0,0,0,1,0,0,1,1,1,1,1
298,Jaime Mata,es  ESP,"FW,MF",Getafe,29,1988,27.0,35,22,11,15,9,9,28,32.1,19,438,119,27.2,48,229,161,23,2,0,21,10,45,25,0
299,Borja Mayoral,es  ESP,FW,Levante,21,1997,18.0,11,8,2,6,3,3,15,20.0,12,270,47,17.4,17,123,130,8,0,0,8,5,16,8,0
300,Róbert Mazáň,sk  SVK,DF,Celta Vigo,24,1994,1.0,3,2,3,0,0,3,3,100.0,0,20,6,30.0,6,12,2,1,0,0,1,2,5,0,0
301,Álvaro Medrán,es  ESP,MF,Rayo Vallecano,24,1994,12.8,13,9,4,5,4,4,20,20.0,16,191,52,27.2,65,96,30,14,2,0,12,13,26,11,0
302,Óscar Melendo,es  ESP,"MF,FW",Espanyol,20,1997,22.2,20,12,9,7,4,9,29,31.0,20,446,107,24.0,114,219,113,27,1,0,26,13,33,6,0
303,Gonzalo Melero,es  ESP,MF,Huesca,24,1994,14.9,24,22,5,18,1,10,49,20.4,39,366,86,23.5,90,205,71,18,6,0,12,3,27,25,0
304,Arthur Melo,br  BRA,MF,Barcelona,21,1996,15.9,17,15,5,9,3,5,18,27.8,13,350,98,28.0,78,198,74,15,1,0,14,9,26,5,0
305,Brais Méndez,es  ESP,"MF,FW",Celta Vigo,21,1997,26.1,58,43,21,29,8,16,62,25.8,46,686,181,26.4,181,337,168,37,1,0,36,15,73,25,0
306,Gabriel Mercado,ar  ARG,DF,Sevilla,31,1987,19.3,40,27,22,17,1,19,34,55.9,15,183,63,34.4,97,73,13,40,14,0,26,17,57,89,1
307,Mikel Merino,es  ESP,MF,Real Sociedad,22,1996,22.8,48,38,19,26,3,16,59,27.1,43,656,138,21.0,156,351,149,41,4,0,37,27,75,37,2
308,Sabin Merino,es  ESP,"FW,MF",Leganés,26,1992,3.3,2,2,0,1,1,0,2,0.0,2,52,12,23.1,7,32,13,3,1,0,2,0,2,5,0
309,Martín Merquelanz,es  ESP,MF,Real Sociedad,23,1995,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
310,Roque Mesa,es  ESP,MF,Sevilla,29,1989,19.4,50,36,24,17,9,12,35,34.3,23,445,116,26.1,144,217,84,20,2,0,18,19,69,10,0
311,Lionel Messi,ar  ARG,FW,Barcelona,31,1987,30.1,15,12,6,3,6,3,20,15.0,17,324,91,28.1,25,131,168,14,0,0,14,5,20,0,0
312,Míchel,es  ESP,MF,Valladolid,30,1988,28.4,57,47,25,28,4,19,85,22.4,66,596,136,22.8,206,350,40,49,3,0,46,34,91,39,1
313,Miguel,es  ESP,MF,Valladolid,18,1999,0.1,0,0,0,0,0,0,0,,0,7,1,14.3,1,4,2,0,0,0,0,0,0,0,0
314,Pere Milla,es  ESP,"FW,MF",Eibar,25,1992,3.8,7,6,1,4,2,0,5,0.0,5,95,36,37.9,19,54,22,7,1,0,6,3,10,0,0
315,Santi Mina,es  ESP,FW,Valencia,22,1995,20.6,19,14,3,13,3,2,25,8.0,23,505,94,18.6,38,255,212,25,2,0,23,4,23,16,0
316,Ignasi Miquel,es  ESP,DF,Getafe,25,1992,3.5,2,2,0,2,0,1,2,50.0,1,30,10,33.3,13,16,1,7,3,0,4,4,6,28,0
