,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes,Match Report
10,2020-10-24,Sat,La Liga,Matchweek 7,Home,W 2–0,Atlético Madrid,Betis,N,RM,34.0,13.0,13.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,5.0,1.0,0.0,13.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,Match Report
11,2020-10-27,Tue,Champions Lg,Group stage,Home,W 3–2,es  Atlético Madrid,at  RB Salzburg,Y,FW,90.0,34.0,33.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,8.0,3.0,1.0,31.0,1.0,0.0,0.0,21.0,1.0,1.0,0.0,2.0,Match Report
12,2020-10-31,Sat,La Liga,Matchweek 8,Away,W 3–1,Atlético Madrid,Osasuna,Y,FW,84.0,33.0,31.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,3.0,4.0,0.0,31.0,0.0,1.0,0.0,28.0,0.0,1.0,0.0,0.0,Match Report
13,2020-11-03,Tue,Champions Lg,Group stage,Away,D 1–1,es  Atlético Madrid,ru  Loko Moscow,Y,AM,90.0,52.0,50.0,2.0,0.0,1.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,39.0,6.0,7.0,1.0,48.0,2.0,1.0,0.0,37.0,1.0,2.0,2.0,2.0,Match Report
14,2020-11-07,Sat,La Liga,Matchweek 9,Home,W 4–0,Atlético Madrid,Cádiz,Y,LW,90.0,60.0,59.0,1.0,0.0,2.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,52.0,5.0,3.0,5.0,52.0,0.0,1.0,2.0,53.0,0.0,0.0,2.0,1.0,Match Report
15,2020-11-11,Wed,Friendlies (M),Friendlies (M),Home,W 7–0,pt  Portugal,ad  Andorra,N,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
16,2020-11-14,Sat,UEFA Nations League,League A,Home,L 0–1,pt  Portugal,fr  France,Y,FW,83.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,Match Report
17,2020-11-17,Tue,UEFA Nations League,League A,Away,W 3–2,pt  Portugal,hr  Croatia,Y,FW,70.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,Match Report
18,2020-11-21,Sat,La Liga,Matchweek 10,Home,W 1–0,Atlético Madrid,Barcelona,Y,FW,83.0,46.0,46.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,6.0,4.0,3.0,40.0,2.0,0.0,0.0,42.0,0.0,0.0,2.0,0.0,Match Report
19,2020-11-25,Wed,Champions Lg,Group stage,Home,D 0–0,es  Atlético Madrid,ru  Loko Moscow,Y,FW,90.0,41.0,37.0,4.0,0.0,0.0,12.0,1.0,0.0,3.0,1.0,1.0,0.0,37.0,2.0,2.0,3.0,37.0,0.0,0.0,0.0,31.0,0.0,0.0,5.0,2.0,Match Report
20,2020-11-28,Sat,La Liga,Matchweek 11,Away,W 1–0,Atlético Madrid,Valencia,N,"WB,AM",45.0,22.0,22.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,3.0,1.0,20.0,0.0,0.0,0.0,19.0,0.0,1.0,0.0,1.0,Match Report
21,2020-12-01,Tue,Champions Lg,Group stage,Home,D 1–1,es  Atlético Madrid,de  Bayern Munich,Y,FW,86.0,38.0,36.0,2.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,5.0,4.0,4.0,32.0,1.0,0.0,0.0,31.0,0.0,1.0,0.0,0.0,Match Report
22,2020-12-05,Sat,La Liga,Matchweek 12,Home,W 2–0,Atlético Madrid,Valladolid,N,FW,34.0,12.0,12.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,1.0,0.0,12.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,Match Report
23,2020-12-09,Wed,Champions Lg,Group stage,Away,W 2–0,es  Atlético Madrid,at  RB Salzburg,Y,FW,88.0,34.0,34.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,7.0,3.0,2.0,27.0,1.0,0.0,2.0,21.0,0.0,1.0,3.0,0.0,Match Report
24,2020-12-12,Sat,La Liga,Matchweek 13,Away,L 0–2,Atlético Madrid,Real Madrid,Y,FW,59.0,29.0,29.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,2.0,2.0,1.0,28.0,0.0,0.0,0.0,22.0,0.0,0.0,2.0,1.0,Match Report
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2020-12-19,Sat,La Liga,Matchweek 14,Home,W 3–1,Atlético Madrid,Elche,Y,FW,72.0,25.0,25.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,1.0,3.0,2.0,21.0,2.0,0.0,0.0,20.0,1.0,0.0,0.0,2.0,Match Report
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2020-12-30,Wed,La Liga,Matchweek 16,Home,W 1–0,Atlético Madrid,Getafe,Y,FW,70.0,25.0,25.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,3.0,1.0,24.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,Match Report
29,2021-01-03,Sun,La Liga,Matchweek 17,Away,W 2–1,Atlético Madrid,Alavés,N,FW,29.0,20.0,20.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,4.0,4.0,14.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0,1.0,Match Report
30,2021-01-06,Wed,Copa del Rey,Second round,Away,L 0–1,Atlético Madrid,Cornellà,Y,FW,74.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,Match Report
31,2021-01-12,Tue,La Liga,Matchweek 1,Home,W 2–0,Atlético Madrid,Sevilla,N,FW,25.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,Match Report
32,2021-01-21,Thu,La Liga,Matchweek 19,Away,W 2–1,Atlético Madrid,Eibar,N,CM,45.0,12.0,12.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,1.0,8.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,Match Report
33,2021-01-24,Sun,La Liga,Matchweek 20,Home,W 3–1,Atlético Madrid,Valencia,Y,FW,61.0,24.0,22.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,0.0,3.0,20.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,Match Report
34,2021-01-31,Sun,La Liga,Matchweek 21,Away,W 4–2,Atlético Madrid,Cádiz,Y,FW,59.0,14.0,13.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,10.0,1.0,3.0,1.0,13.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,Match Report
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2021-02-17,Wed,La Liga,Matchweek 2,Away,D 1–1,Atlético Madrid,Levante,N,AM,25.0,9.0,8.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,2.0,7.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,2.0,Match Report
37,2021-02-20,Sat,La Liga,Matchweek 24,Home,L 0–2,Atlético Madrid,Levante,Y,"AM,FW",90.0,29.0,28.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,6.0,2.0,1.0,27.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,2.0,Match Report
38,2021-02-23,Tue,Champions Lg,Round of 16,Home,L 0–1,es  Atlético Madrid,eng  Chelsea,Y,LW,81.0,22.0,22.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,3.0,1.0,1.0,20.0,1.0,0.0,0.0,17.0,0.0,0.0,1.0,1.0,Match Report
39,2021-02-28,Sun,La Liga,Matchweek 25,Away,W 2–0,Atlético Madrid,Villarreal,N,"CM,FW",45.0,23.0,23.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,2.0,1.0,20.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,1.0,Match Report
40,2021-03-07,Sun,La Liga,Matchweek 26,Home,D 1–1,Atlético Madrid,Real Madrid,N,LM,27.0,10.0,9.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,2.0,7.0,0.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,Match Report
41,2021-03-10,Wed,La Liga,Matchweek 18,Home,W 2–1,Atlético Madrid,Athletic Club,Y,RW,66.0,26.0,26.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0,1.0,24.0,1.0,0.0,0.0,24.0,0.0,0.0,2.0,0.0,Match Report
42,2021-03-13,Sat,La Liga,Matchweek 27,Away,D 0–0,Atlético Madrid,Getafe,N,CM,45.0,21.0,20.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,2.0,2.0,2.0,18.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,Match Report
43,2021-03-17,Wed,Champions Lg,Round of 16,Away,L 0–2,es  Atlético Madrid,eng  Chelsea,Y,"FW,AM,LW,CM",90.0,36.0,34.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,8.0,3.0,1.0,33.0,1.0,0.0,0.0,29.0,0.0,0.0,1.0,0.0,Match Report
44,2021-03-24,Wed,WCQ — UEFA (M),First round,Home,W 1–0,pt  Portugal,az  Azerbaijan,N,,16.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,Match Report
45,2021-03-27,Sat,WCQ — UEFA (M),First round,Away,D 2–2,pt  Portugal,rs  Serbia,N,,6.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,Match Report
46,2021-03-30,Tue,WCQ — UEFA (M),First round,Away,W 3–1,pt  Portugal,lu  Luxembourg,Y,FW,40.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,Match Report
47,2021-04-11,Sun,La Liga,Matchweek 30,Away,D 1–1,Atlético Madrid,Betis,Y,FW,47.0,28.0,27.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,1.0,2.0,25.0,0.0,0.0,0.0,27.0,1.0,0.0,0.0,0.0,Match Report
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2021-04-25,Sun,La Liga,Matchweek 32,Away,L 1–2,Atlético Madrid,Athletic Club,N,FW,32.0,21.0,21.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,17.0,1.0,3.0,1.0,20.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,1.0,Match Report
50,2021-05-01,Sat,La Liga,Matchweek 34,Away,W 1–0,Atlético Madrid,Elche,N,"FW,AM",34.0,6.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,Match Report
51,,,,,,27-12-8,,,30/47,,2855.0,933.0,905.0,28.0,6.0,11.0,206.0,17.0,20.0,4.0,2.0,1.0,0.0,730.0,113.0,90.0,55.0,830.0,17.0,6.0,4.0,747.0,7.0,8.0,25.0,29.0,
