,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Sandro Ramírez,12.0,es  ESP,FW,26-051,60,0,0,0,2,1,0,2,1,0,0,0,0,0,2,2,50.0
1,Jaime Mata,7.0,es  ESP,FW,32-309,30,0,0,0,2,1,0,1,0,0,0,0,0,1,2,2,50.0
2,Enes Ünal,10.0,tr  TUR,FW,24-111,75,0,0,0,5,2,1,1,0,1,0,0,0,4,0,2,0.0
3,José Juan Macías,9.0,mx  MEX,FW,21-341,15,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0,100.0
4,Jakub Jankto,16.0,cz  CZE,LM,25-222,90,0,0,0,1,0,0,2,2,1,0,0,0,4,1,0,100.0
5,Carles Aleñá,11.0,es  ESP,RM,23-236,60,1,0,0,2,1,0,0,1,0,0,0,0,2,0,0,
6,David Timor,24.0,es  ESP,RM,31-316,30,0,0,0,1,0,0,0,1,0,0,0,0,3,2,0,100.0
7,Mauro Arambarri,18.0,uy  URU,DM,25-333,90,0,0,0,2,3,0,0,3,3,0,0,0,10,1,2,33.3
8,Nemanja Maksimović,20.0,rs  SRB,DM,26-215,90,0,0,0,0,0,0,0,3,2,0,0,0,12,0,1,0.0
9,Mathías Olivera,17.0,uy  URU,LB,23-302,90,0,0,0,2,3,0,0,0,2,0,0,0,10,0,2,0.0
10,Stefan Mitrović,23.0,rs  SRB,CB,31-099,90,0,0,0,2,0,0,0,6,1,0,0,0,9,3,0,100.0
11,Djené,2.0,tg  TOG,CB,29-241,83,0,0,0,2,1,0,0,4,2,0,0,0,8,0,0,
12,Emmanuel Amankwaa Akurugu,28.0,gh  GHA,CB,19-282,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
13,Iglesias,21.0,es  ESP,RB,23-057,45,0,0,0,1,1,0,0,2,1,0,0,0,1,1,0,100.0
14,Damián Suárez,22.0,uy  URU,RB,33-124,45,0,0,0,1,2,0,1,4,2,0,0,0,3,2,1,66.7
15,David Soria,13.0,es  ESP,GK,28-147,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
16,16 Players,,,,,990,1,0,0,23,17,1,8,27,15,0,0,0,72,15,12,55.6
