,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG/SoT_Expected,PSxG+/-_Expected,/90_Expected,Cmp_Launched,Att_Launched,Cmp%_Launched,Att_Passes,Thr_Passes,Launch%_Passes,AvgLen_Passes,Att_Goal Kicks,Launch%_Goal Kicks,AvgLen_Goal Kicks,Opp_Crosses,Stp_Crosses,Stp%_Crosses,#OPA_Sweeper,#OPA/90_Sweeper,AvgDist_Sweeper
0,Antonio Adán,es  ESP,GK,Atlético Madrid,32,1987,0.3,0,0,0,0,0,0.0,0.01,0.0,+0.04,1,3,33.3,5,1,40.0,44.0,1,100.0,67.0,2,0,0.0,1,3.60,14.7
1,Sergio Álvarez,es  ESP,GK,Celta Vigo,32,1986,2.0,1,0,0,0,0,1.1,0.28,+0.1,+0.06,8,22,36.4,34,5,32.4,35.6,19,57.9,43.0,24,2,8.3,0,0.00,16.5
2,Miguel Ángel Moyá,es  ESP,GK,Real Sociedad,35,1984,13.0,16,0,0,1,1,13.1,0.26,-1.9,-0.15,100,188,53.2,358,58,32.7,32.9,100,71.0,48.6,102,13,12.7,12,0.92,15.9
3,Alphonse Areola,fr  FRA,GK,Real Madrid,26,1993,4.0,5,2,0,1,0,4.8,0.27,-0.2,-0.06,16,36,44.4,106,26,18.9,28.5,29,55.2,42.5,39,1,2.6,5,1.25,14.2
4,Sergio Asenjo,es  ESP,GK,Villarreal,30,1989,34.0,41,5,0,8,1,39.5,0.24,-0.5,-0.01,166,451,36.8,759,150,39.3,37.2,280,54.6,44.8,354,20,5.6,18,0.53,13.9
5,Rubén Blanco,es  ESP,GK,Celta Vigo,24,1995,32.9,43,5,3,3,0,40.7,0.29,-2.3,-0.07,213,573,37.2,696,121,53.9,42.5,294,67.3,52.9,335,21,6.3,10,0.30,14.2
6,Yassine Bounou,ma  MAR,GK,Sevilla,28,1991,5.5,3,1,0,0,0,3.8,0.16,+0.8,+0.15,42,84,50.0,125,24,41.6,36.4,45,71.1,51.2,40,3,7.5,2,0.36,15.5
7,Churripi,es  ESP,GK,Valladolid,25,1994,2.7,3,0,0,2,0,3.1,0.24,+0.1,+0.04,18,80,22.5,75,11,78.7,55.3,24,87.5,67.6,25,3,12.0,3,1.11,13.7
8,Jasper Cillessen,nl  NED,GK,Valencia,30,1989,23.3,30,6,2,3,1,28.0,0.22,-1.0,-0.04,140,413,33.9,553,133,48.5,39.4,206,70.4,56.3,264,21,8.0,12,0.52,12.8
9,Thibaut Courtois,be  BEL,GK,Real Madrid,27,1992,34.0,20,0,0,4,0,22.8,0.24,+2.8,+0.08,90,311,28.9,865,200,26.1,33.0,219,38.8,40.3,285,25,8.8,22,0.65,14.8
10,Iván Cuéllar,es  ESP,GK,Leganés,35,1984,27.0,33,1,1,8,0,29.6,0.29,-3.4,-0.13,230,623,36.9,605,108,69.9,52.1,218,91.7,67.8,272,32,11.8,34,1.26,16.0
11,Marko Dmitrović,rs  SRB,GK,Eibar,27,1992,35.0,51,4,2,3,1,44.1,0.36,-5.9,-0.17,273,842,32.4,817,91,74.1,58.3,245,96.7,76.4,274,20,7.3,48,1.37,17.4
12,Jaume Doménech,es  ESP,GK,Valencia,28,1990,14.7,23,1,1,4,0,22.7,0.28,-0.3,-0.02,106,255,41.6,325,61,48.3,38.8,132,74.2,53.9,178,7,3.9,6,0.41,12.8
13,Aarón Escandell,es  ESP,GK,Granada,23,1995,3.0,3,0,0,0,0,2.6,0.20,-0.4,-0.14,30,81,37.0,103,21,64.1,48.8,25,60.0,50.6,30,2,6.7,3,1.00,13.6
14,Fabricio,es  ESP,GK,Mallorca,31,1987,1.0,3,2,0,1,0,1.7,0.15,-1.3,-1.31,8,17,47.1,24,6,50.0,41.0,9,55.6,47.3,5,0,0.0,1,1.00,15.3
15,Aitor Fernández,es  ESP,GK,Levante,28,1991,36.0,51,3,1,8,2,57.2,0.27,+8.2,+0.23,204,553,36.9,781,186,50.1,41.7,337,48.1,41.4,382,25,6.5,29,0.81,14.0
16,Andrés Fernández,es  ESP,GK,Villarreal,32,1986,4.0,8,3,0,2,1,6.8,0.26,-0.2,-0.04,23,55,41.8,108,15,31.5,30.9,44,47.7,40.6,46,2,4.3,1,0.25,11.9
17,Sergio Herrera,es  ESP,GK,Osasuna,26,1993,18.4,27,1,2,4,0,27.6,0.34,+0.6,+0.03,175,482,36.3,464,72,74.6,52.9,148,91.9,64.4,156,16,10.3,21,1.14,15.9
18,Iago Herrerín,es  ESP,GK,Athletic Club,31,1988,4.7,9,0,1,1,0,6.3,0.36,-2.7,-0.57,44,110,40.0,139,28,61.9,46.4,30,80.0,58.3,41,6,14.6,0,0.00,10.5
19,Diego López,es  ESP,GK,Espanyol,37,1981,35.9,58,6,0,6,2,50.5,0.30,-5.5,-0.15,225,691,32.6,839,118,57.1,45.2,303,70.0,52.0,302,26,8.6,31,0.86,14.6
20,Daniel Martín,es  ESP,GK,Betis,21,1998,5.9,12,0,0,1,0,7.8,0.30,-4.2,-0.72,37,76,48.7,158,35,36.1,33.9,36,52.8,45.4,58,3,5.2,2,0.34,13.0
