,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per 90 Minutes,xA_Per 90 Minutes,xG+xA_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xA_Per 90 Minutes
0,Antonio Adán,es  ESP,GK,Atlético Madrid,32,1987,1,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
1,Aritz Aduriz,es  ESP,FW,Athletic Club,38,1981,14,0,208,2.3,1,0,1,0,1,3,0,0.43,0.00,0.43,0.43,0.43,1.3,0.6,0.0,0.6,0.58,0.00,0.58,0.25,0.25
2,Lumor Agbenyenu,gh  GHA,DF,Mallorca,22,1996,23,20,1805,20.1,1,0,1,0,0,5,1,0.05,0.00,0.05,0.05,0.05,0.3,0.3,1.9,2.3,0.02,0.10,0.11,0.02,0.11
3,Martin Agirregabiria,es  ESP,DF,Alavés,23,1996,31,23,2099,23.3,1,1,1,0,0,5,1,0.04,0.04,0.09,0.04,0.09,0.9,0.9,1.0,1.9,0.04,0.04,0.08,0.04,0.08
4,Joseph Aidoo,gh  GHA,DF,Celta Vigo,23,1995,32,27,2502,27.8,0,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,0.8,0.8,0.8,1.7,0.03,0.03,0.06,0.03,0.06
5,Jordi Alba,es  ESP,DF,Barcelona,30,1989,27,25,2187,24.3,2,5,2,0,0,7,0,0.08,0.21,0.29,0.08,0.29,1.1,1.1,3.3,4.3,0.04,0.14,0.18,0.04,0.18
6,Raúl Albiol,es  ESP,DF,Villarreal,33,1985,36,36,3237,36.0,1,0,1,0,0,9,0,0.03,0.00,0.03,0.03,0.03,1.4,1.4,0.4,1.7,0.04,0.01,0.05,0.04,0.05
7,Paco Alcácer,es  ESP,FW,Villarreal,25,1993,13,11,924,10.3,4,1,4,0,0,1,0,0.39,0.10,0.49,0.39,0.49,3.2,3.2,1.6,4.7,0.31,0.15,0.46,0.31,0.46
8,Rubén Alcaraz,es  ESP,MF,Valladolid,28,1991,27,20,1927,21.4,2,2,2,0,0,10,0,0.09,0.09,0.19,0.09,0.19,1.6,1.6,0.8,2.5,0.08,0.04,0.11,0.08,0.11
9,Álex Alegría,es  ESP,FW,Mallorca,26,1992,6,0,109,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
10,Yeray Álvarez,es  ESP,DF,Athletic Club,24,1995,32,32,2810,31.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.5,1.7,0.04,0.02,0.05,0.04,0.05
