,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Aymen Abdennour,tn  TUN,DF,Marseille,27,1989,5.6,359,34,224,160,5,2,358,1,1,100.0,1,0,269,1828,762,11,1,0,0,0,267,259,97.0,0
1,Mehdi Abeid,dz  ALG,MF,Dijon,24,1992,13.1,762,30,257,453,129,16,749,11,22,50.0,13,1,551,3340,1512,40,13,1,14,17,537,493,91.8,29
2,Khaled Adénon,bj  BEN,DF,Amiens,32,1985,32.5,1504,262,1045,535,17,10,1464,1,3,33.3,1,0,778,4515,2233,27,0,0,5,6,709,691,97.5,9
3,Ruben Aguilar,fr  FRA,"DF,MF",Montpellier,24,1993,27.3,1796,62,507,825,616,34,1519,19,39,48.7,24,1,1078,6460,4295,180,71,6,27,30,1145,1039,90.7,72
4,Jean-Eudes Aholou,ci  CIV,MF,Strasbourg,23,1994,33.4,1696,81,559,1000,254,37,1689,23,33,69.7,26,0,1122,5591,2744,99,28,2,31,24,1043,976,93.6,54
5,Youssef Aït Bennasser,ma  MAR,MF,Caen,21,1996,22.8,1378,47,387,900,241,10,1363,48,60,80.0,50,3,1014,6550,3636,115,45,4,12,26,952,881,92.5,34
6,David Alcibiade,fr  FRA,DF,Nantes,25,1991,2.3,120,13,48,50,33,3,102,0,0,,0,0,52,352,232,4,3,0,0,0,47,46,97.9,3
7,Júnior Alonso,py  PAR,DF,Lille,24,1993,30.9,2158,189,1266,983,96,23,2100,11,13,84.6,11,0,1379,8277,4833,85,20,0,9,7,1332,1306,98.0,18
8,Dani Alves,br  BRA,DF,Paris S-G,34,1983,22.9,2246,50,559,1167,675,50,2105,20,41,48.8,21,2,1645,7669,4648,202,69,8,20,24,1703,1645,96.6,90
9,Ibrahim Amadou,fr  FRA,"MF,DF",Lille,24,1993,26.7,1781,111,787,1002,130,18,1770,9,9,100.0,9,0,1276,6933,3504,68,25,0,15,14,1262,1232,97.6,31
10,Morgan Amalfitano,fr  FRA,MF,Rennes,32,1985,8.3,336,11,50,184,125,19,324,7,10,70.0,7,0,243,1373,544,29,9,1,9,15,296,232,78.4,34
11,Romain Amalfitano,fr  FRA,MF,Dijon,27,1989,30.0,1741,62,533,1116,264,9,1720,35,60,58.3,37,2,1298,8768,3740,147,53,0,44,42,1208,1142,94.5,58
12,Jordan Amavi,fr  FRA,DF,Marseille,23,1994,24.4,1608,87,548,777,407,10,1442,35,64,54.7,42,1,1050,5285,3069,127,43,3,30,28,972,930,95.7,41
13,Kelvin Amian,fr  FRA,DF,Toulouse,19,1998,35.0,1538,120,591,648,403,17,1286,15,22,68.2,16,0,799,4514,2496,101,39,3,28,23,783,701,89.5,42
14,Benjamin André,fr  FRA,MF,Rennes,26,1990,33.5,2309,76,442,1309,682,63,2283,28,40,70.0,31,1,1379,6872,2955,135,46,5,47,48,1719,1446,84.1,271
15,Yoann Andreu,fr  FRA,DF,Angers,28,1989,23.0,1383,64,510,596,364,12,1173,11,23,47.8,12,1,808,4525,2490,115,37,3,20,12,784,728,92.9,33
16,Houssem Aouar,fr  FRA,"MF,FW",Lyon,19,1998,27.0,1897,36,331,1134,598,83,1876,57,88,64.8,58,5,1431,8284,4390,188,69,23,44,46,1560,1426,91.4,131
17,Luiz Araújo,br  BRA,"FW,MF",Lille,21,1996,22.4,1048,14,168,496,515,64,1015,59,89,66.3,65,0,860,5918,3208,147,52,23,51,56,927,754,81.3,154
18,Alphonse Areola,fr  FRA,GK,Paris S-G,24,1993,34.0,739,620,736,3,0,0,645,0,0,,0,0,409,2012,1021,0,0,0,0,0,332,331,99.7,0
19,Yoël Armougom,fr  FRA,"MF,DF",Caen,19,1998,1.5,93,4,18,43,38,3,71,1,1,100.0,1,0,46,251,190,6,2,1,4,1,53,44,83.0,4
20,Benoît Assou-Ekotto,cm  CMR,DF,Metz,33,1984,11.7,679,33,254,345,117,1,578,7,8,87.5,7,0,389,1733,810,20,11,1,5,2,352,343,97.4,2
21,Danilo Avelar,br  BRA,"DF,FW",Amiens,28,1989,19.2,1041,92,389,473,241,14,900,10,28,35.7,11,0,508,2546,1582,62,24,0,7,12,567,508,89.6,42
22,Durel Avounou,cg  CGO,"MF,DF",Caen,19,1997,7.2,351,17,87,183,101,7,321,5,6,83.3,5,0,184,991,426,21,7,1,6,5,195,168,86.2,22
23,Chidozie Awaziem,ng  NGA,DF,Nantes,20,1997,16.8,802,105,477,305,65,13,741,6,8,75.0,6,0,410,2249,1276,31,5,0,4,8,377,357,94.7,9
24,Karim Azamoum,fr  FRA,MF,Troyes,27,1990,25.3,1245,68,361,578,377,33,1195,14,23,60.9,18,1,707,3749,1494,60,22,5,37,30,812,693,85.3,93
25,Ludovic Baal,gf  GUF,DF,Rennes,31,1986,12.9,941,34,255,497,234,7,811,12,14,85.7,12,0,562,2700,1559,54,21,2,12,11,568,535,94.2,10
26,Dylan Bahamboula,cg  CGO,"FW,MF",Dijon,22,1995,0.3,20,0,2,7,13,1,20,0,1,0.0,0,0,14,82,35,3,0,0,1,1,17,14,82.4,3
27,Farès Bahlouli,fr  FRA,"MF,FW",Lille,22,1995,3.4,222,0,21,99,125,7,196,8,22,36.4,8,0,164,869,470,28,7,0,16,8,174,144,82.8,33
28,Stéphane Bahoken,cm  CMR,FW,Strasbourg,25,1992,18.5,537,3,43,208,309,71,522,11,21,52.4,13,0,356,1627,787,49,8,14,50,25,712,364,51.1,159
29,Keita Baldé,sn  SEN,"FW,MF",Monaco,22,1995,16.3,565,8,57,235,323,78,557,18,28,64.3,19,1,430,2762,1527,91,22,22,37,29,652,415,63.7,147
30,Iván Balliu,al  ALB,DF,Metz,25,1992,21.7,1360,65,404,592,452,9,1161,14,24,58.3,14,0,807,4013,2349,111,41,1,13,10,828,768,92.8,32
31,Fodé Ballo-Touré,sn  SEN,DF,Lille,20,1997,22.8,1355,56,436,640,348,28,1199,18,28,64.3,18,1,876,4072,2331,95,23,5,24,23,902,807,89.5,50
32,Florent Balmont,fr  FRA,MF,Dijon,37,1980,9.6,598,10,130,362,156,7,579,5,7,71.4,5,0,458,2102,1081,44,21,2,14,13,452,405,89.6,27
33,Mario Balotelli,it  ITA,FW,Nice,26,1990,25.2,1097,29,101,577,499,109,1037,27,42,64.3,29,2,792,3497,1725,90,40,15,53,42,1157,892,77.1,218
34,Abdoulaye Bamba,ci  CIV,DF,Angers,27,1990,17.0,941,41,326,469,195,3,781,12,17,70.6,12,0,546,2587,1426,59,18,0,16,9,542,512,94.5,20
35,Jonathan Bamba,fr  FRA,"FW,MF",Saint-Étienne,21,1996,28.6,1588,16,202,709,846,103,1473,39,71,54.9,40,3,1156,7986,4294,199,77,25,72,91,1444,1102,76.3,241
36,Yacine Bammou,ma  MAR,"MF,FW",Nantes,25,1991,8.1,373,12,80,151,171,34,373,5,13,38.5,7,0,250,1277,604,29,10,2,16,11,354,238,67.2,73
37,Sekou Baradji,fr  FRA,MF,Amiens,33,1984,0.1,5,0,2,2,1,0,5,0,0,,0,0,3,15,4,0,0,0,0,0,2,2,100.0,0
38,Nicolas Basin,fr  FRA,DF,Metz,19,1998,3.5,193,13,70,83,48,2,169,0,1,0.0,0,0,101,451,226,8,4,1,0,1,100,96,96.0,3
39,Gil Bastião Dias,pt  POR,FW,Monaco,20,1996,0.1,4,0,1,1,3,1,4,0,0,,0,0,3,26,25,2,0,1,0,1,7,3,42.9,1
40,Paul Baysse,fr  FRA,DF,Bordeaux,29,1988,6.3,350,38,192,164,19,12,345,1,1,100.0,1,0,200,1698,1041,29,2,0,2,1,214,205,95.8,9
