,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,GA_Performance,GA90_Performance,SoTA_Performance,Saves_Performance,Save%_Performance,W,D,L,CS_Performance,CS%_Performance,PKatt_Performance,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Save%_Penalty Kicks
0,Alphonse Areola,fr  FRA,GK,Paris S-G,24,1993,34,34,3060,34.0,25,0.74,106,82,77.4,26,6,2,17,50.0,2,1,1,0,50.0
1,Diego Benaglio,ch  SUI,GK,Monaco,33,1983,3,2,225,2.5,0,0.00,6,6,100.0,2,0,0,2,100.0,0,0,0,0,
2,Walter Benítez,ar  ARG,GK,Nice,24,1993,28,28,2520,28.0,36,1.29,114,83,71.1,12,8,8,7,25.0,5,3,2,0,40.0
3,Quentin Beunardeau,fr  FRA,GK,Metz,23,1994,1,0,39,0.4,2,4.62,4,2,50.0,0,0,0,0,,0,0,0,0,
4,Landry Bonnefoi,fr  FRA,GK,Strasbourg,33,1983,4,3,272,3.0,6,1.99,17,11,64.7,2,0,1,1,33.3,0,0,0,0,
5,Jean-Christophe Bouet,fr  FRA,GK,Amiens,34,1983,1,1,90,1.0,1,1.00,6,5,83.3,0,0,1,0,0.0,0,0,0,0,
6,Ludovic Butelle,fr  FRA,GK,Angers,34,1983,19,19,1652,18.4,22,1.20,70,52,72.9,6,5,7,4,21.1,3,3,0,0,0.0
7,Yoan Cardinale,fr  FRA,GK,Nice,23,1994,10,10,900,10.0,16,1.60,43,28,62.8,3,1,6,3,30.0,0,0,0,0,
8,Benoît Costil,fr  FRA,GK,Bordeaux,30,1987,36,36,3240,36.0,45,1.25,119,79,65.5,16,7,13,10,27.8,9,4,4,1,50.0
9,Abdoulaye Diallo,sn  SEN,GK,Rennes,25,1992,3,3,270,3.0,5,1.67,16,12,75.0,0,2,1,0,0.0,1,1,0,0,0.0
10,Thomas Didillon,fr  FRA,GK,Metz,21,1995,9,9,810,9.0,14,1.56,36,26,69.4,1,1,7,2,22.2,3,3,0,0,0.0
11,Maxime Dupé,fr  FRA,GK,Nantes,24,1993,1,1,90,1.0,3,3.00,4,2,50.0,0,0,1,0,0.0,1,1,0,0,0.0
12,Mathieu Gorgelin,fr  FRA,GK,Lyon,26,1990,4,4,360,4.0,6,1.50,12,6,50.0,2,1,1,1,25.0,0,0,0,0,
13,Régis Gurtner,fr  FRA,GK,Amiens,30,1986,37,37,3330,37.0,41,1.11,178,141,79.2,12,9,16,11,29.7,4,4,0,0,0.0
14,Karl-Johan Johnsson,se  SWE,GK,Guingamp,27,1990,38,38,3420,38.0,59,1.55,169,116,68.0,12,11,15,11,28.9,7,5,2,0,28.6
15,Bingourou Kamara,sn  SEN,GK,Strasbourg,20,1996,19,19,1691,18.8,32,1.70,90,60,66.7,4,6,9,2,10.5,2,2,0,0,0.0
16,Eiji Kawashima,jp  JPN,GK,Metz,34,1983,29,29,2570,28.6,60,2.10,172,113,65.1,5,7,17,2,6.9,2,0,2,0,100.0
17,Hervé Koffi,bf  BFA,GK,Lille,20,1996,4,4,360,4.0,11,2.75,19,10,47.4,0,1,3,0,0.0,1,1,0,0,0.0
18,Tomáš Koubek,cz  CZE,GK,Rennes,24,1992,34,34,3060,34.0,36,1.06,130,98,73.8,16,8,10,10,29.4,3,2,1,0,33.3
19,Alban Lafont,fr  FRA,GK,Toulouse,18,1999,38,38,3420,38.0,54,1.42,161,113,70.2,9,10,19,12,31.6,6,6,0,0,0.0
20,Benjamin Lecomte,fr  FRA,GK,Montpellier,26,1991,38,38,3420,38.0,33,0.87,121,93,76.9,11,18,9,14,36.8,6,5,0,1,0.0
21,Alexandre Letellier,fr  FRA,GK,Angers,26,1990,13,13,1170,13.0,17,1.31,46,32,67.4,2,7,4,1,7.7,2,2,0,0,0.0
22,Anthony Lopes,pt  POR,GK,Lyon,26,1990,34,34,3060,34.0,37,1.09,135,106,76.3,21,8,5,14,41.2,8,5,2,1,28.6
23,Raïs M'Bolhi,dz  ALG,GK,Rennes,31,1986,1,1,90,1.0,3,3.00,5,4,80.0,0,0,1,0,0.0,2,2,0,0,0.0
24,Mike Maignan,fr  FRA,GK,Lille,21,1995,34,34,3033,33.7,53,1.57,160,112,68.8,10,7,17,5,14.7,6,3,2,1,40.0
25,Steve Mandanda,fr  FRA,GK,Marseille,32,1985,31,31,2680,29.8,37,1.24,118,85,72.0,18,8,4,11,35.5,6,4,1,1,20.0
26,Mathieu Michel,fr  FRA,GK,Angers,25,1991,7,6,598,6.6,13,1.96,27,17,59.3,1,2,4,1,16.7,2,2,0,0,0.0
27,Jessy Moulin,fr  FRA,GK,Saint-Étienne,31,1986,4,3,305,3.4,6,1.77,27,22,81.5,1,0,2,1,33.3,1,1,0,0,0.0
28,Alexandre Oukidja,dz  ALG,GK,Strasbourg,29,1988,17,16,1457,16.2,29,1.79,70,45,64.3,3,5,8,2,12.5,5,4,1,0,20.0
29,Yohann Pelé,fr  FRA,GK,Marseille,34,1982,10,7,738,8.2,10,1.22,26,18,61.5,4,3,1,3,42.9,0,0,0,0,
30,Jérôme Prior,fr  FRA,GK,Bordeaux,21,1995,2,2,180,2.0,3,1.50,8,5,62.5,0,0,2,0,0.0,0,0,0,0,
31,Baptiste Reynet,fr  FRA,GK,Dijon,26,1990,38,38,3420,38.0,73,1.92,198,139,68.7,13,9,16,5,13.2,15,11,3,1,21.4
32,Stéphane Ruffier,fr  FRA,GK,Saint-Étienne,30,1986,35,35,3113,34.6,44,1.27,150,112,74.0,14,10,11,12,34.3,6,5,1,0,16.7
33,Mamadou Samassa,ml  MLI,GK,Troyes,27,1990,21,21,1890,21.0,31,1.48,108,81,73.1,6,3,12,5,23.8,3,2,1,0,33.3
34,Brice Samba,cg  CGO,GK,Caen,23,1994,4,3,316,3.5,4,1.14,18,15,83.3,1,1,1,2,66.7,1,1,0,0,0.0
35,Danijel Subašić,hr  CRO,GK,Monaco,32,1984,34,34,2939,32.7,41,1.26,130,94,71.5,20,8,5,10,29.4,4,4,0,0,0.0
36,Seydou Sy,sn  SEN,GK,Monaco,21,1995,3,2,256,2.8,4,1.41,16,13,81.3,2,0,1,1,50.0,1,1,0,0,0.0
37,Ciprian Tătărușanu,ro  ROU,GK,Nantes,31,1986,37,37,3330,37.0,38,1.03,133,97,72.9,14,10,13,12,32.4,3,2,0,1,0.0
38,Kevin Trapp,de  GER,GK,Paris S-G,27,1990,4,4,360,4.0,4,1.00,16,14,87.5,3,0,1,1,25.0,2,2,0,0,0.0
39,Rémy Vercoutre,fr  FRA,GK,Caen,37,1980,35,35,3104,34.5,48,1.39,133,93,66.9,9,7,18,11,31.4,4,4,0,0,0.0
40,Erwin Zelazny,fr  FRA,GK,Troyes,25,1991,17,17,1530,17.0,28,1.65,94,68,72.3,3,3,11,3,17.6,2,2,0,0,0.0
