,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
0,Patrick van Aanholt,nl  NED,DF,Crystal Palace,28,1990,27.9,1227,1558,78.8,21251,9280,578,647,89.3,521,634,82.2,112,221,50.7,2,3.2,-1.2,32,86,25,5,129
1,Max Aarons,eng  ENG,DF,Norwich City,19,2000,36.0,1316,1684,78.1,20293,6834,733,820,89.4,475,596,79.7,78,174,44.8,1,3.4,-2.4,24,43,32,13,77
2,Tammy Abraham,eng  ENG,FW,Chelsea,21,1997,24.6,288,412,69.9,4213,811,159,222,71.6,77,101,76.2,26,35,74.3,3,2.5,+0.5,18,16,5,0,31
3,Che Adams,sct  SCO,FW,Southampton,23,1996,12.3,184,265,69.4,2931,631,96,124,77.4,66,91,72.5,12,24,50.0,2,1.2,+0.8,11,12,3,0,19
4,Adrián,es  ESP,GK,Liverpool,32,1987,9.7,227,314,72.3,6819,3815,30,30,100.0,104,106,98.1,91,174,52.3,0,0.0,0.0,0,3,0,0,0
5,Sergio Agüero,ar  ARG,FW,Manchester City,31,1988,16.1,284,367,77.4,3746,786,175,212,82.5,81,104,77.9,11,13,84.6,3,2.4,+0.6,16,12,20,0,32
6,Albian Ajeti,ch  SUI,"MF,FW",West Ham,22,1997,1.5,15,18,83.3,152,8,12,12,100.0,2,5,40.0,0,0,,0,0.1,-0.1,2,0,0,0,0
7,Nathan Aké,nl  NED,DF,Bournemouth,24,1995,27.8,1042,1183,88.1,21690,7029,303,330,91.8,564,609,92.6,166,224,74.1,2,0.6,+1.4,4,66,10,0,57
8,Marc Albrighton,eng  ENG,"MF,DF",Leicester City,29,1989,9.6,344,507,67.9,6189,2444,176,207,85.0,116,154,75.3,46,115,40.0,3,2.0,+1.0,18,31,20,9,50
9,Toby Alderweireld,be  BEL,DF,Tottenham,30,1989,32.9,1567,1895,82.7,37304,9766,334,358,93.3,869,938,92.6,354,573,61.8,2,1.1,+0.9,11,130,16,1,87
10,Trent Alexander-Arnold,eng  ENG,DF,Liverpool,20,1998,35.3,2254,3147,71.6,49838,19993,761,850,89.5,1014,1275,79.5,446,902,49.4,13,9.9,+3.1,85,200,90,30,274
11,Alisson,br  BRA,GK,Liverpool,26,1992,28.3,794,925,85.8,22277,12306,150,150,100.0,352,356,98.9,290,417,69.5,1,0.5,+0.5,2,7,1,0,1
12,Dele Alli,eng  ENG,"MF,FW",Tottenham,23,1996,20.5,621,805,77.1,10289,2384,314,375,83.7,241,283,85.2,51,88,58.0,4,2.0,+2.0,22,41,24,0,65
13,Miguel Almirón,py  PAR,"MF,FW",Newcastle Utd,25,1994,33.6,682,894,76.3,10799,2574,368,426,86.4,242,306,79.1,50,98,51.0,2,1.6,+0.4,27,40,24,4,66
14,Marcos Alonso,es  ESP,DF,Chelsea,28,1990,15.9,916,1108,82.7,16220,4972,394,442,89.1,426,495,86.1,84,133,63.2,2,2.2,-0.2,26,35,29,14,70
15,Steven Alzate,co  COL,"MF,DF",Brighton,20,1998,13.2,564,664,84.9,8968,2602,292,326,89.6,233,268,86.9,28,42,66.7,0,0.7,-0.7,13,32,16,2,56
16,Ibrahim Amadou,fr  FRA,"DF,MF",Norwich City,26,1993,8.4,310,361,85.9,6355,1786,94,109,86.2,169,182,92.9,45,64,70.3,0,0.0,0.0,1,14,1,0,11
17,Felipe Anderson,br  BRA,"MF,FW",West Ham,26,1993,16.6,725,934,77.6,12055,3505,397,469,84.6,235,299,78.6,72,103,69.9,4,3.1,+0.9,26,49,33,6,85
